x,newgroup
USKT,SHKR
SHRP,RCK
YMTH,RCK
POP2,RCK
GRDR,OTHR
SRKR,RCK
UTRB,OTHR
SPKL,RCK
GBLC,RCK
TIGR,RCK
POP1,OTHR
DSRK,SHKR
KLPG,OTHR
LSRK,SHKR
SSRK,SHKR
UFLT,FLAT
CSKT,SHKR
CBZN,OTHR
PWHT,OTHR
SCOR,OTHR
PLCK,OTHR
FNTS,FLAT
BSKT,SHKR
RATF,OTHR
OFLT,FLAT
OGRN,OTHR
TREE,RCK
ORCK,RCK
SWSP,RCK
SLNS,FLAT
STAR,RCK
HBRK,RCK
UPOP,OTHR
NUSF,RCK
NUSP,RCK
BMOL,FLAT
NUSR,RCK
LDAB,FLAT
KLPR,RCK
HTRB,FLAT
DSOL,FLAT
BSPR,RCK
LSKT,SHKR
GREN,OTHR
RBR1,RCK
CLCO,RCK
UDNR,RCK
FRCK,RCK
OCTP,CEPH
MISC,OTHR
UTCR,CRAB
UECH,OTHR
USRK,SHKR
MSC2,OTHR
WEEL,OTHR
PHLB,FLAT
SQID,CEPH
SCLP,OTHR
SPSK,SHKR
BTCR,CRAB
USCU,OTHR
CSRK,SHKR
MSQD,CEPH
DCRB,CRAB
NANC,OTHR
EELS,OTHR
UHAG,OTHR
BLSK,SHKR
UMSK,OTHR
USRM,OTHR
WCRK,OTHR
PSDN,OTHR
SHAD,OTHR
CHNK,SALM
COHO,SALM
JMCK,OTHR
CMCK,OTHR
CHUM,SALM
PINK,SALM
SOCK,SALM
UMCK,OTHR
CHL1,FLAT
PHRG,OTHR
MAKO,SHKR
OSRK,SHKR
TSRK,SHKR
BSRK,SHKR
WBAS,OTHR
ALBC,OTHR
UKCR,CRAB
SMLT,OTHR
YTNA,OTHR
EULC,OTHR
PROW,OTHR
STLH,SALM
RURC,OTHR
TCOD,OTHR
OSKT,SHKR
SWRD,OTHR
